# De/para entre conta contábil e linha do Demonstrativo do Resultado.
#
# GERADO por ferramentas/gerar-dre-indice.py a partir da aba "indice" de
# deparacontabil1.xlsx. Não edite à mão: rode o script de novo.
#
# Formato: conta;chave;descrição da conta;rótulo original.
#
# A chave é a mesma de webapp/dre-historico.js, para a linha do balancete e
# a linha da tela serem a mesma coisa nos dois lugares.
#
# Só contas ANALÍTICAS. As sintéticas são somatórios das filhas.
3.2.3.01.050;apropriacao;INGREDIENTES E DROGAS DE FABRICAÇÃO;CUSTO
3.2.3.01.051;apropriacao;ADUBOS E FERTILIZANTES;CUSTO
3.2.3.01.052;apropriacao;INSETICIDAS FUNG.E HERBICIDAS;CUSTO
3.2.3.01.053;apropriacao;MATÉRIAS-PRIMAS DIVERSAS;CUSTO
3.2.3.01.055;apropriacao;CANA DE FORNECEDORES;CUSTO
3.2.3.01.056;apropriacao;PEÇAS E ACESSÓRIOS;CUSTO
3.2.3.01.057;apropriacao;MATERIAL DE CONSTRUÇÃO;CUSTO
3.2.3.01.059;apropriacao;BIOMASSA;CUSTO
3.2.3.01.060;apropriacao;DEPRECIAÇÃO DE BENS;CUSTO
3.2.3.01.061;apropriacao;DEPRECIAÇÃO DE LAVOURA;CUSTO
3.2.3.01.063;apropriacao;INDENIZAÇÕES DIVERSAS - P. JURÍDICA;CUSTO
3.2.3.01.066;apropriacao;MATERIAIS DIVERSOS;CUSTO
3.2.3.01.068;apropriacao;DESPESAS INDEDUTÍVEIS;CUSTO
3.2.3.01.070;apropriacao;AMORTIZAÇÃO DE APONTAMENTOS;CUSTO
3.2.3.01.074;apropriacao;RECUPERAÇÕES ( - );CUSTO
3.2.3.01.076;apropriacao;HORAS EXTRAS;CUSTO
3.2.3.01.077;apropriacao;ADICIONAL PERICULOSIDADE;CUSTO
3.2.3.01.078;apropriacao;ADICIONAL INSALUBRIDADE;CUSTO
3.2.3.01.079;apropriacao;LICENÇA REMUNERADA;CUSTO
3.2.3.01.080;apropriacao;AVISO PRÉVIO;CUSTO
3.2.3.01.081;apropriacao;ADICIONAL NOTURNO;CUSTO
3.2.3.01.082;apropriacao;GRATIFICAÇÃO;CUSTO
3.2.3.01.090;apropriacao;TRANSFERÊNCIA DE CUSTOS;CUSTO
3.2.3.01.092;apropriacao;CONTRIBUIÇÕES A TERCEIROS S/ FOLHA DE PAGAMENTO;CUSTO
3.2.3.01.100;apropriacao;HONORÁRIOS ADVOCATÍCIOS S/ PROCESSOS;CUSTO
3.2.3.02.001;desp_vendas;ORDENADOS E SALÁRIOS;DESPESAS COM VENDAS
3.2.3.02.002;desp_vendas;DÉCIMO TERCEIRO SALÁRIO;DESPESAS COM VENDAS
3.2.3.02.003;desp_vendas;FÉRIAS;DESPESAS COM VENDAS
3.2.3.02.005;desp_vendas;INSS;DESPESAS COM VENDAS
3.2.3.02.006;desp_vendas;FGTS;DESPESAS COM VENDAS
3.2.3.02.016;desp_vendas;GENÊROS ALIMENTÍCIOS;DESPESAS COM VENDAS
3.2.3.02.017;desp_vendas;UNIFORMES E FARDAMENTOS;DESPESAS COM VENDAS
3.2.3.02.019;desp_vendas;DESPESAS COM VIAGENS E ESTADIAS;DESPESAS COM VENDAS
3.2.3.02.020;desp_vendas;DESPESAS C/LOC.DE EMPREGADOS;DESPESAS COM VENDAS
3.2.3.02.022;desp_vendas;SERVIÇOS DE TERCEIROS-P.JURÍDICA;DESPESAS COM VENDAS
3.2.3.02.024;desp_vendas;FRETES CARRETOS - P.JURÍDICA;DESPESAS COM VENDAS
3.2.3.02.028;desp_vendas;INDENIZAÇÕES TRABALHISTAS;DESPESAS COM VENDAS
3.2.3.02.032;desp_vendas;ALUGUÉIS E ARRENDAMENTOS;DESPESAS COM VENDAS
3.2.3.02.038;desp_vendas;CUSTAS E EMOLUMENTOS;DESPESAS COM VENDAS
3.2.3.02.044;desp_vendas;MATERIAL DE EXPEDIENTE;DESPESAS COM VENDAS
3.2.3.02.045;desp_vendas;COMBUSTÍVES E LUBRIFICANTES;DESPESAS COM VENDAS
3.2.3.02.048;desp_vendas;CORREIOS;DESPESAS COM VENDAS
3.2.3.02.049;desp_vendas;SACARIAS;DESPESAS COM VENDAS
3.2.3.02.050;desp_vendas;INGREDIENTES E DROGAS DE FABRICAÇÃO;DESPESAS COM VENDAS
3.2.3.02.056;desp_vendas;PEÇAS E ACESSÓRIOS;DESPESAS COM VENDAS
3.2.3.02.057;desp_vendas;MATERIAL DE CONSTRUÇÃO;DESPESAS COM VENDAS
3.2.3.02.060;desp_vendas;DEPRECIAÇÃO DE BENS;DESPESAS COM VENDAS
3.2.3.02.066;desp_vendas;MATERIAS DIVERSOS;DESPESAS COM VENDAS
3.2.3.02.074;desp_vendas;RECUPERAÇÕES;DESPESAS COM VENDAS
3.2.3.02.076;desp_vendas;HORAS EXTRAS;DESPESAS COM VENDAS
3.2.3.02.078;desp_vendas;ADICIONAL INSALUBRIDADE;DESPESAS COM VENDAS
3.2.3.02.079;desp_vendas;LINCENÇA REMUNERADA;DESPESAS COM VENDAS
3.2.3.02.080;desp_vendas;AVISO PRÉVIO;DESPESAS COM VENDAS
3.2.3.02.081;desp_vendas;ADICIONAL NOTURNO;DESPESAS COM VENDAS
3.2.3.02.082;desp_vendas;GRATIFICAÇÃO;DESPESAS COM VENDAS
3.2.3.02.088;desp_vendas;PERDAS;DESPESAS COM VENDAS
3.2.3.02.092;desp_vendas;CONTRIBUIÇÕES A TERCEIROS S/ FOLHA DE PAGAMENTO;DESPESAS COM VENDAS
3.2.3.02.106;desp_vendas;DESPESAS DE COMERCIALIZAÇÃO;DESPESAS COM VENDAS
3.2.3.02.110;desp_vendas;MULTA CONTRATUAL;DESPESAS COM VENDAS
3.2.3.02.111;desp_vendas;DESPESAS EMPAT;DESPESAS COM VENDAS
3.2.3.02.114;desp_vendas;COMISSÕES VENDA DE AÇÚCAR;DESPESAS COM VENDAS
3.2.3.02.115;desp_vendas;COMISSÕES VENDA DE ETANOL;DESPESAS COM VENDAS
3.2.3.03.001;desp_admin;ORDENADOS E SALÁRIOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.002;desp_admin;DÉCIMO TERCEIRO SALÁRIO;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.003;desp_admin;FÉRIAS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.004;desp_admin;HONORÁRIOS DA DIRETORIA;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.005;desp_admin;INSS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.006;desp_admin;FGTS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.008;desp_admin;CONTRIBUIÇÃO SINDICAL;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.009;desp_admin;CONTRIBUIÇÕES A ENTIDADES DE CLASSE;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.011;desp_admin;DESPESAS ASSIST. SOCIAL;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.012;desp_admin;CONFRATERNIZAÇÕES;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.014;desp_admin;MEDICAMENTOS E HOSPITALIZAÇÕES;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.016;desp_admin;GÊNEROS ALIMENTÍCIOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.017;desp_admin;UNIFORMES E FARDAMENTOS;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.018;desp_admin;TREINAMENTOS DE PESSOAL;DESPESAS GERAIS E ADMINISTRATIVAS
3.2.3.03.019;desp_admin;DESPESAS DE VIAGENS ESTADIA;DESPESAS GERAIS E ADMINISTRATIVAS
