# GERADO por ferramentas/gerar-balanco.py a partir de balanco.xlsx.
# Não edite à mão: rode o script de novo.
#
# Formato: conta;tipo;grupo;nivel;nivel 2
#
# O rótulo do índice sozinho não resolve: cinco nomes existem duas
# vezes no balanço (circulante e longo prazo). O prefixo da conta é
# que decide, e a resolução já vem feita aqui.
# resultado do exercício (grupo 3) -> Prejuízos acumulados
1.1.4.03.002;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.003;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.004;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.005;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.006;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.007;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.009;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.010;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.011;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.013;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.015;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.03.016;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.04.003;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.04.004;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.04.005;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.04.006;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.04.007;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.04.008;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.04.009;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.4.04.010;Ativo;Ativo  Circulante;Ativo  Circulante;Tributos a Recuperar
1.1.5.01.001;Ativo;Ativo  Circulante;Ativo  Circulante;Outros Créditos
1.1.5.01.002;Ativo;Ativo  Circulante;Ativo  Circulante;Outros Créditos
1.1.6.01.001;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.01.002;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.01.003;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.01.005;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.02.004;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.03.001;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.03.002;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.03.004;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.03.006;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.04.003;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.08.001;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.08.002;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.6.08.003;Ativo;Ativo  Circulante;Ativo  Circulante;Estoques
1.1.7.01.001;Ativo;Ativo  Circulante;Ativo  Circulante;Despesas do Exercício Seguinte
1.1.7.01.002;Ativo;Ativo  Circulante;Ativo  Circulante;Despesas do Exercício Seguinte
1.1.7.01.003;Ativo;Ativo  Circulante;Ativo  Circulante;Despesas do Exercício Seguinte
1.1.7.03.002;Ativo;Ativo  Circulante;Ativo  Circulante;Despesas do Exercício Seguinte
1.1.7.04.001;Ativo;Ativo  Circulante;Ativo  Circulante;Ativo Biológico
1.1.7.04.002;Ativo;Ativo  Circulante;Ativo  Circulante;Ativo Biológico
1.1.7.04.003;Ativo;Ativo  Circulante;Ativo  Circulante;Ativo Biológico
1.1.7.04.099;Ativo;Ativo  Circulante;Ativo  Circulante;Ativo Biológico
1.1.8.01.016;Ativo;Ativo  Circulante;Ativo  Circulante;Outros Créditos
1.1.9.01.001;Ativo;Ativo  Circulante;Ativo  Circulante;Depositos Judiciais
1.1.9.01.002;Ativo;Ativo  Circulante;Ativo  Circulante;Depositos Judiciais
1.1.9.01.003;Ativo;Ativo  Circulante;Ativo  Circulante;Depositos Judiciais
1.2.1.02.001;Ativo;Não Circulante;Realizável a Longo Prazo;Transações com Partes Relacionadas
1.2.1.02.005;Ativo;Não Circulante;Realizável a Longo Prazo;Transações com Partes Relacionadas
1.2.1.03.001;Ativo;Não Circulante;Realizável a Longo Prazo;Depositos Judiciais
1.2.1.03.002;Ativo;Não Circulante;Realizável a Longo Prazo;Depositos Judiciais
1.2.1.03.003;Ativo;Não Circulante;Realizável a Longo Prazo;Depositos Judiciais
1.2.1.03.004;Ativo;Não Circulante;Realizável a Longo Prazo;Depositos Judiciais
1.2.1.09.001;Ativo;Não Circulante;Realizável a Longo Prazo;Outros Créditos
1.2.1.09.002;Ativo;Não Circulante;Realizável a Longo Prazo;Outros Créditos
1.3.1.01.001;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.002;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.003;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.004;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.005;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.006;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.007;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.008;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.009;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.010;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.011;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.012;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.013;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.014;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.020;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.021;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.01.022;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.001;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.002;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.003;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.004;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.005;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.006;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.007;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.008;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.009;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.010;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.011;Ativo;Não Circulante;Investimentos;Investimentos
1.3.1.02.012;Ativo;Não Circulante;Investimentos;Investimentos
